t_sec,target_speed_mmps,measured_speed_mmps,brake_percent,flags,fault_bits,target_steer_millirad,measured_steer_millirad
32.3422,0,0,0,1,0,0,55
32.3917,0,0,0,1,0,0,52
32.4425,0,0,0,1,0,0,58
32.4926,0,0,0,1,0,0,58
32.5422,0,0,0,1,0,0,49
32.5917,0,0,0,1,0,0,58
32.642,0,0,0,1,0,0,46
32.6925,0,0,0,1,0,0,58
32.7428,0,0,0,1,0,0,52
32.7916,0,0,0,1,0,0,49
32.8425,0,0,0,1,0,0,70
32.8922,0,0,0,1,0,0,49
32.9418,0,0,0,1,0,0,52
32.9924,0,0,0,1,0,0,46
33.0419,0,0,0,1,0,0,49
33.0918,0,0,0,1,0,0,46
33.1416,0,0,0,1,0,0,67
33.1916,0,0,0,1,0,0,46
33.2423,0,0,0,1,0,0,52
33.2922,0,0,0,1,0,0,58
33.3422,0,0,0,1,0,0,49
33.3919,0,0,0,1,0,0,52
33.4419,0,0,0,1,0,0,55
33.4918,0,0,0,1,0,0,55
33.5422,0,0,0,1,0,0,58
33.5922,0,0,0,1,0,0,46
33.6423,0,0,0,1,0,0,58
33.6922,0,0,0,1,0,0,58
33.7428,0,0,0,1,0,0,58
33.7929,0,0,0,1,0,0,49
33.8422,0,0,0,1,0,0,49
33.8924,0,0,0,1,0,0,67
33.9421,0,0,0,1,0,0,49
33.9921,0,0,0,1,0,0,55
34.0423,0,0,0,1,0,0,49
34.0923,0,0,0,1,0,0,58
34.1426,0,0,0,1,0,0,58
34.1928,0,0,0,1,0,0,46
34.2421,0,0,0,1,0,0,49
34.2927,0,0,0,1,0,0,52
34.3428,0,0,0,1,0,0,67
34.3917,0,0,0,1,0,0,58
34.4424,0,0,0,1,0,0,52
34.492,0,0,0,1,0,0,49
34.5423,0,0,0,1,0,0,58
34.5921,0,0,0,1,0,0,55
34.6419,0,0,0,1,0,0,58
34.6922,0,0,0,1,0,0,58
34.7422,0,0,0,1,0,0,49
34.7922,0,0,0,1,0,0,52
34.8417,0,0,0,1,0,0,49
34.8921,0,0,0,1,0,0,46
34.9416,0,0,0,1,0,0,58
34.9925,0,0,0,1,0,0,49
35.0422,0,0,0,1,0,0,46
35.0914,0,0,0,1,0,0,46
35.1419,0,0,0,1,0,0,52
35.1922,0,0,0,1,0,0,58
35.2422,0,0,0,1,0,0,58
35.2918,0,0,0,1,0,0,49
35.3421,0,0,0,1,0,0,52
35.3921,0,0,0,1,0,0,49
35.4419,0,0,0,1,0,0,46
35.4917,0,0,0,1,0,0,52
35.5418,0,0,0,1,0,0,58
35.5917,0,0,0,1,0,0,52
35.6421,0,0,0,1,0,0,58
35.6922,0,0,0,1,0,0,49
35.7422,0,0,0,1,0,0,52
35.7925,0,0,0,1,0,0,58
35.8425,0,0,0,1,0,0,61
35.8922,0,0,0,1,0,0,46
35.9418,0,0,0,1,0,0,58
35.9921,0,0,0,1,0,0,58
36.0425,0,0,0,1,0,0,49
36.0921,0,0,0,1,0,0,52
36.1421,0,0,0,1,0,0,43
